trade_date,trade_time,open,high,low,close,volume,year,month,prev_month_high,prev_month_low,rsi,distance_to_prev_month_high_pct,distance_to_prev_month_low_pct,signal,forward_1,forward_3,forward_6
2023-09-22,05:00:00,4331.96,4340.59,4330.59,4339.33,1286,2023,9,4597.13,4335.33,19.98412158330494,-5.607846634748205,0.09226517935197551,BULLISH,0.03456754844641915,-0.17375954352399942,-0.2359811307275497
2023-09-22,17:00:00,4339.39,4357.29,4328.03,4331.79,4078,2023,9,4597.13,4335.33,14.24328819196981,-5.7718620095581405,-0.08165468372649749,BULLISH,-0.27702173928099005,-0.06232989133821856,-0.017544710154467746
2023-10-23,01:00:00,4227.66,4236.79,4227.66,4234.79,1660,2023,10,4540.53,4237.79,17.87639463457458,-6.7335751553232726,-0.07079161544106716,BULLISH,-0.02975354149793067,-0.4132436319156322,-0.3400404742619973
2024-04-16,09:00:00,5056.99,5061.86,5047.73,5055.23,4570,2024,4,5261.33,5056.33,19.012843112566088,-3.917260464559348,-0.021754909193038505,BULLISH,0.1087982149180156,-0.039562987242914766,0.294348625087288
2024-05-15,05:00:00,5249.59,5253.33,5247.59,5249.46,441,2024,5,5256.59,4926.33,80.12979576255016,-0.13563926423784448,6.559243899616958,BEARISH,-0.04057560206192845,0.9873396501735403,1.2667969657831473
2024-06-06,17:00:00,5350.69,5359.53,5339.79,5348.79,4159,2024,6,5349.83,5007.89,90.83864301704813,-0.019439870051944894,6.807258146644587,BEARISH,0.0418786304939955,0.22285414084307056,0.31857672482935323
2024-06-06,21:00:00,5348.29,5353.79,5333.79,5351.03,2459,2024,6,5349.83,5007.89,89.45281522601078,0.022430619290703033,6.851987563624588,BEARISH,0.1083903472789385,0.05942781109431813,-0.11100666600635017
2024-06-07,01:00:00,5349.91,5357.96,5349.91,5356.83,877,2024,6,5349.83,5007.89,89.58904109589017,0.13084527919578753,6.9678048040192495,BEARISH,0.07243089663103196,-0.1911578302839512,-0.20422526008851502
2024-06-07,09:00:00,5360.46,5362.09,5351.83,5354.21,1774,2024,6,5349.83,5007.89,80.77613279497513,0.08187176041108053,6.915487360944423,BEARISH,-0.14231791431415447,-0.17033325177757114,-0.37017599234993975
2024-07-04,13:00:00,5535.83,5539.09,5531.09,5531.09,620,2024,7,5524.09,5233.79,80.16209246638425,0.12671770373038818,5.680396041874056,BEARISH,-0.011390159986550736,0.1580158702895773,0.5807173631237222
2024-09-17,09:00:00,5634.43,5655.7,5633.18,5653.2,5630,2024,9,5650.83,5091.21,84.76238370631143,0.041940741448599425,11.038436835251341,BEARISH,-0.04422274110238449,-0.3139814618269299,-0.1524800113210198
2024-09-17,13:00:00,5653.18,5661.2,5646.18,5650.7,7315,2024,9,5650.83,5091.21,81.86329239548449,-0.0023005469992923014,10.989332594805552,BEARISH,-0.34544392730103396,-0.13927478011573594,-0.2760719910807414
2024-11-06,05:00:00,5853.14,5879.89,5837.39,5872.14,7399,2024,11,5881.41,5672.83,86.0003041208374,-0.15761526572708803,3.5134139397796234,BEARISH,0.7058755411144799,0.7990272711481685,1.1047079940192142
2024-12-24,17:00:00,5997.75,6038.34,5997.03,6037.59,4867,2024,12,6044.09,5695.75,83.60547842166305,-0.10754307099993547,6.001667910283986,BEARISH,0.004471983026332147,-0.42649467751205367,-0.06840477740290594
2024-12-26,01:00:00,6039.59,6039.61,6033.11,6037.86,1427,2024,12,6044.09,5695.75,82.41503344875122,-0.10307589728148445,6.006408286880563,BEARISH,-0.008612322909102348,-0.294309573259392,-0.13696905857372527
2025-01-22,17:00:00,6087.37,6100.21,6081.73,6091.47,4664,2025,1,6099.74,5800.89,80.40901393773613,-0.13557954929225716,5.009231342087161,BEARISH,-0.13133118935166715,-0.2444401761807959,0.11409397074925785
2025-01-23,17:00:00,6083.29,6104.16,6077.22,6098.42,4761,2025,1,6099.74,5800.89,82.13547266561935,-0.02164026663431079,5.129040543778622,BEARISH,0.251868516763353,0.22038495216793202,-0.0614913371004293
2025-06-04,13:00:00,5982.59,5989.34,5964.84,5985.57,4450,2025,6,5995.49,5576.88,82.83490372798036,-0.16545770237295154,7.328291087489772,BEARISH,0.0020048215959364082,-0.26279869753422924,-0.5468150902921454
2025-06-04,17:00:00,5986.05,5989.11,5965.27,5985.69,7583,2025,6,5995.49,5576.88,83.70361616639094,-0.16345619790876445,7.330442828248043,BEARISH,-0.3099057919805281,-0.3232710013381825,-0.2933663454004382
2025-07-01,01:00:00,6194.36,6207.86,6192.59,6207.11,1739,2025,7,6214.55,5856.84,82.49133685938355,-0.11971904643136685,5.980528749291419,BEARISH,-0.21781473181560385,-0.20540960285865723,-0.1485393363417008
2025-09-05,13:00:00,6513.36,6531.76,6493.26,6520.46,4339,2025,9,6508.66,6211.76,82.51400124455492,0.1812969182596753,4.969606037580329,BEARISH,-0.921714112194544,-0.4048794103483441,-0.40181214208813204
2025-12-22,13:00:00,6855.26,6872.01,6853.56,6866.43,7104,2025,12,6879.66,6506.86,86.8301886792452,-0.19230601512283402,5.526014083597936,BEARISH,0.07325495199106005,0.16908349753801716,0.20505561113999454
2025-12-22,17:00:00,6866.76,6880.36,6853.11,6871.46,10410,2025,12,6879.66,6506.86,85.72513731447923,-0.11919193681082813,5.603317114552954,BEARISH,0.04656943357015566,-0.027941660142096043,0.4453202085146441
2025-12-22,21:00:00,6871.56,6877.86,6868.76,6874.66,5139,2025,12,6879.66,6506.86,81.9023631380101,-0.07267801025050656,5.652495981164497,BEARISH,0.049166067849175224,0.05091160871955849,0.4106384897580458
2025-12-23,01:00:00,6876.44,6881.06,6873.86,6878.04,4670,2025,12,6879.66,6506.86,82.16918473104136,-0.02354767532116254,5.704441159022943,BEARISH,-0.12358171804758332,0.03591139336206615,0.3460288105332359
2025-12-23,05:00:00,6878.24,6879.44,6867.64,6869.54,4131,2025,12,6879.66,6506.86,91.84206232664383,-0.14710029274702371,5.573809794586026,BEARISH,0.12548147328641934,0.4733941428392649,0.4712105905198876
2025-12-23,09:00:00,6869.78,6881.93,6868.36,6878.16,4990,2025,12,6879.66,6506.86,92.17649820059457,-0.02180340307515197,5.706285366520874,BEARISH,0.03416611419333606,0.35954383148982394,0.3768449701664409
2025-12-23,13:00:00,6878.26,6888.58,6858.51,6880.51,7531,2025,12,6879.66,6506.86,92.22818061708246,0.012355261742591404,5.7424010966887336,BEARISH,0.3132035270641301,0.31000608966486387,0.47336607315445667
2026-01-07,01:00:00,6947.54,6947.61,6942.96,6943.99,6000,2026,1,6942.38,6715.49,83.87096774193579,0.023190894189019796,3.4025811966066515,BEARISH,-0.08467754129830414,0.07877315491526132,-0.4104268583336093
