trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
2023-10-26,01:00:00,14317.44,14324.94,14229.94,14238.94,7382,14850.64,14358.19,BEARISH_20_BAR_BREAKOUT,-0.08076443892593127,0.002106898406758315,-0.14221564245653118
2023-10-26,05:00:00,14239.44,14244.44,14217.19,14227.44,5270,14850.64,14229.94,BEARISH_20_BAR_BREAKOUT,0.17747395174395394,-0.5770539183437102,0.09312989546959959
2023-10-26,17:00:00,14237.99,14298.24,14062.09,14145.34,20019,14850.64,14172.69,BEARISH_20_BAR_BREAKOUT,-0.13679416684222764,0.6740735818297783,0.1035676767048345
2023-10-31,17:00:00,14258.94,14406.19,14246.44,14401.19,17491,14396.74,14062.09,BULLISH_20_BAR_BREAKOUT,-0.17880466822533414,-0.13818302515277997,0.8554848592373192
2023-11-01,13:00:00,14358.04,14506.29,14337.54,14472.89,10308,14427.69,14127.89,BULLISH_20_BAR_BREAKOUT,0.3558377076036645,1.8002624216725278,2.5734321203298083
2023-11-01,17:00:00,14502.64,14574.79,14456.04,14524.39,14617,14506.29,14127.89,BULLISH_20_BAR_BREAKOUT,1.0898908663289895,1.3704534235172774,2.7119899699746526
2023-11-01,21:00:00,14530.29,14684.69,14481.04,14682.69,14532,14574.79,14127.89,BULLISH_20_BAR_BREAKOUT,0.34564510999006315,0.6156909939527405,1.4139098489445758
2023-11-02,01:00:00,14685.69,14741.64,14684.94,14733.44,4882,14684.69,14127.89,BULLISH_20_BAR_BREAKOUT,-0.06787281178054819,0.7594967638243317,1.0459200295382503
2023-11-02,09:00:00,14723.69,14785.84,14704.19,14773.09,6308,14741.64,14228.99,BULLISH_20_BAR_BREAKOUT,0.48906491465224944,0.7933343667438616,0.7087210597106004
2023-11-02,13:00:00,14773.34,14878.09,14769.84,14845.34,10501,14785.84,14228.99,BULLISH_20_BAR_BREAKOUT,0.4913999948805533,0.2842642876485195,1.3873040294126016
2023-11-02,17:00:00,14846.59,14923.44,14798.84,14918.29,13669,14878.09,14228.99,BULLISH_20_BAR_BREAKOUT,-0.18768907160271048,-0.16590373293453872,1.3356088398871453
2023-11-03,13:00:00,14877.54,15065.44,14861.54,15051.29,10302,14933.04,14236.19,BULLISH_20_BAR_BREAKOUT,0.4401616074103947,0.4102638378504434,0.663398286791355
2023-11-03,17:00:00,15075.79,15129.79,14978.04,15117.54,14376,15065.44,14236.19,BULLISH_20_BAR_BREAKOUT,-0.016537082091398467,0.03142045597365709,-0.10186842568302419
2023-11-07,13:00:00,15135.79,15239.79,15111.04,15234.54,8980,15188.54,14704.19,BULLISH_20_BAR_BREAKOUT,0.6442596888386497,0.5372659758679851,0.6751106367504273
2023-11-07,17:00:00,15235.54,15341.94,15207.14,15332.69,12489,15239.79,14704.19,BULLISH_20_BAR_BREAKOUT,-0.12620094712669702,-0.3182742232445911,-0.1718550365265349
2023-11-09,13:00:00,15338.34,15372.09,15309.09,15372.09,7748,15361.39,15072.39,BULLISH_20_BAR_BREAKOUT,-0.5659607769665673,-1.227874674165972,-0.42219372902448293
2023-11-10,17:00:00,15305.84,15506.84,15264.09,15497.84,13371,15397.44,15111.04,BULLISH_20_BAR_BREAKOUT,0.2903630441403447,-0.09227092291570485,0.042263954202645476
2023-11-10,21:00:00,15497.59,15544.59,15490.84,15542.84,5736,15506.84,15111.04,BULLISH_20_BAR_BREAKOUT,-0.4715997848526992,-0.18754616273473598,-0.25381461817789236
2023-11-14,13:00:00,15527.69,15813.29,15505.54,15810.54,10877,15554.44,15150.84,BULLISH_20_BAR_BREAKOUT,-0.07020633071356426,0.38360486106103675,0.3557753245619694
2023-11-15,01:00:00,15850.69,15871.44,15841.69,15871.19,4134,15862.64,15150.84,BULLISH_20_BAR_BREAKOUT,0.03307880505494547,-0.027723188998428197,-0.5680103382292042
2023-11-15,05:00:00,15870.94,15885.69,15864.44,15876.44,3334,15871.44,15150.84,BULLISH_20_BAR_BREAKOUT,0.21887778368450359,-0.13353119465069455,-0.3536687065866128
2023-11-15,09:00:00,15877.44,15916.44,15858.69,15911.19,6217,15885.69,15150.84,BULLISH_20_BAR_BREAKOUT,-0.2790488957771206,-0.7309321301549482,-0.61686146667848
2023-11-20,17:00:00,15955.19,16031.94,15895.34,16027.44,11342,15993.79,15746.19,BULLISH_20_BAR_BREAKOUT,0.12041848230284607,0.2211831708619649,-0.5724557384086292
2023-11-20,21:00:00,16026.69,16071.69,16015.34,16046.74,5454,16031.94,15746.19,BULLISH_20_BAR_BREAKOUT,0.14893990928998435,-0.035521233596349844,-0.7356634431666449
2023-11-29,09:00:00,16050.54,16100.14,16033.29,16094.14,6480,16063.54,15912.34,BULLISH_20_BAR_BREAKOUT,0.48464844968417076,-0.463522748031262,-0.35012743768849125
2023-11-29,13:00:00,16094.39,16183.89,16088.14,16172.14,8179,16100.14,15912.34,BULLISH_20_BAR_BREAKOUT,-0.7315049214265971,-0.8638312554800968,-1.3578907924368608
2023-11-30,17:00:00,15952.29,15975.29,15833.79,15854.04,13700,16183.89,15921.94,BEARISH_20_BAR_BREAKOUT,0.5137491768659528,0.5036571120042497,0.7550126024659891
2023-12-04,13:00:00,15954.99,15960.24,15810.99,15826.74,9236,16183.89,15833.79,BEARISH_20_BAR_BREAKOUT,-0.12226143855273017,-0.033803550194167364,0.05970907464203448
2023-12-04,17:00:00,15825.74,15857.99,15709.24,15807.39,12268,16183.89,15810.99,BEARISH_20_BAR_BREAKOUT,0.23090465914992925,-0.1502461823235841,0.3337046786344868
2023-12-08,17:00:00,16013.59,16105.69,15986.84,16086.09,14237,16054.94,15749.34,BULLISH_20_BAR_BREAKOUT,0.07304447507131938,-0.060611372931520344,1.0325691327103128
2023-12-11,13:00:00,16078.59,16183.69,16062.84,16182.19,9452,16129.59,15784.79,BULLISH_20_BAR_BREAKOUT,0.4325743301740988,0.5669813541924795,0.5709981158298082
2023-12-11,17:00:00,16181.19,16260.44,16139.69,16252.19,12008,16183.69,15784.79,BULLISH_20_BAR_BREAKOUT,0.0353798472698141,0.17843749057819283,0.511623356606092
2023-12-12,01:00:00,16250.19,16290.19,16246.69,16273.94,4402,16262.94,15784.79,BULLISH_20_BAR_BREAKOUT,0.044549752549167564,0.003994115745785201,0.8270891990507545
2023-12-12,21:00:00,16335.09,16405.09,16328.84,16401.84,5074,16350.19,15829.04,BULLISH_20_BAR_BREAKOUT,0.040849075469585897,0.018595474654058766,1.017873604424874
2023-12-13,01:00:00,16410.29,16420.04,16404.29,16408.54,3322,16405.09,15886.19,BULLISH_20_BAR_BREAKOUT,-0.02742474345676093,0.0563730837722308,1.632991113164247
2023-12-13,21:00:00,16397.39,16609.39,16397.39,16568.79,12226,16464.04,15886.19,BULLISH_20_BAR_BREAKOUT,0.6500172915463394,0.5021489197461053,-0.1391169783671546
2023-12-14,01:00:00,16594.74,16692.24,16592.99,16676.49,5478,16609.39,15986.84,BULLISH_20_BAR_BREAKOUT,0.038977026940321374,-0.13731906414360248,-0.6041439175749812
2023-12-18,13:00:00,16655.64,16702.39,16637.24,16699.14,8113,16692.24,16383.64,BULLISH_20_BAR_BREAKOUT,0.4488255083794778,0.27456503748098515,0.5880542351282805
2023-12-18,17:00:00,16698.14,16776.34,16676.39,16774.09,10331,16702.39,16383.64,BULLISH_20_BAR_BREAKOUT,-0.18898193583080053,-0.17646262777890512,0.22504946617074312
2023-12-19,13:00:00,16765.09,16812.59,16756.34,16797.34,8104,16793.34,16434.64,BULLISH_20_BAR_BREAKOUT,0.08632319164820144,0.3938123536226656,0.23991893954637625
2023-12-19,21:00:00,16811.59,16846.44,16801.69,16842.09,5202,16830.09,16434.64,BULLISH_20_BAR_BREAKOUT,0.1270626151505036,-0.2674846174079302,-1.370673117172504
2023-12-20,01:00:00,16842.99,16865.74,16842.74,16863.49,2988,16846.44,16434.64,BULLISH_20_BAR_BREAKOUT,-0.05336973544622139,-0.15328974014277102,-1.3037040375390987
2023-12-26,21:00:00,16883.94,16943.94,16881.19,16926.34,4740,16897.69,16580.49,BULLISH_20_BAR_BREAKOUT,-0.1010259749006492,-0.09068705934064036,0.1837372993807199
2023-12-27,13:00:00,16910.49,16951.24,16904.49,16944.59,5713,16943.94,16638.34,BULLISH_20_BAR_BREAKOUT,-0.07140922264863621,0.2328176721891809,0.08468779710809493
2023-12-27,21:00:00,16932.24,16959.19,16891.04,16957.44,6589,16956.49,16638.34,BULLISH_20_BAR_BREAKOUT,0.15686330012078584,0.12737771739131723,-0.2019762416968599
2023-12-28,01:00:00,16955.04,16985.54,16949.54,16984.04,3209,16959.19,16638.34,BULLISH_20_BAR_BREAKOUT,-0.007359850777553514,-0.14778580361328744,-0.31941752374582255
2024-01-02,13:00:00,16814.24,16819.74,16563.19,16604.19,11290,16995.29,16772.69,BEARISH_20_BAR_BREAKOUT,-0.3845414922377939,-0.3414800721986263,-0.9151304580349726
2024-01-02,17:00:00,16602.94,16630.69,16528.09,16540.34,13752,16995.29,16563.19,BEARISH_20_BAR_BREAKOUT,0.20253513531160788,0.09461716022767037,-0.6719934414891197
2024-01-03,13:00:00,16503.24,16509.99,16426.79,16452.24,10128,16995.29,16467.59,BEARISH_20_BAR_BREAKOUT,-0.14010250275952035,-0.32305631330445855,-0.8874171541382925
2024-01-03,21:00:00,16430.84,16473.34,16366.84,16384.49,9679,16995.29,16389.54,BEARISH_20_BAR_BREAKOUT,0.08910866313201414,0.16082282695401895,-0.5462483116654947
2024-01-04,13:00:00,16411.09,16419.34,16292.39,16306.24,9903,16963.29,16366.84,BEARISH_20_BAR_BREAKOUT,0.2958989932688345,-0.035569205408477196,0.16956698785250088
2024-01-05,05:00:00,16300.69,16305.69,16250.69,16260.94,2932,16883.04,16284.74,BEARISH_20_BAR_BREAKOUT,-0.15374264956392433,0.4796770666394439,0.20939748870606048
2024-01-05,09:00:00,16261.19,16287.69,16221.94,16235.94,6010,16880.59,16250.69,BEARISH_20_BAR_BREAKOUT,0.6032912168928865,0.4973534023900063,0.2743912579129959
2024-01-08,17:00:00,16486.44,16596.44,16467.69,16594.94,11405,16573.24,16184.04,BULLISH_20_BAR_BREAKOUT,0.2786994107842511,0.2832188606888606,0.6242866801567356
2024-01-08,21:00:00,16593.94,16664.19,16585.19,16641.19,6155,16596.44,16184.04,BULLISH_20_BAR_BREAKOUT,0.07060793128376036,-0.31548224616148246,0.27371840595536084
2024-01-09,17:00:00,16562.94,16725.54,16541.69,16698.54,12497,16664.19,16184.04,BULLISH_20_BAR_BREAKOUT,-0.07066486052073578,-0.1530073886699033,0.5057328365234369
2024-01-10,09:00:00,16673.99,16764.09,16670.74,16733.24,6152,16725.54,16184.04,BULLISH_20_BAR_BREAKOUT,-0.2279893194623483,0.49303063841790346,0.7978132148944257
2024-01-10,17:00:00,16695.59,16790.74,16661.99,16782.99,11744,16764.09,16184.04,BULLISH_20_BAR_BREAKOUT,0.19513805346961416,0.5219570529446692,0.08103442831103722
