trade_date,trade_time,open,high,low,close,volume,year,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2013-01-16,00:00:00,1680.76,1681.82,1677.94,1680.91,6834,2013,3,1678.77,1642.67,83.4488996080796,0.1274742817658226,2.327917354063811,BEARISH,0.06901023850175526,-0.12612216002047213,-0.027961044910199073
2013-01-25,16:00:00,1666.23,1668.86,1655.87,1659.65,50531,2013,4,1696.1,1659.88,10.173697270471308,-2.149047815576901,-0.01385642335590634,BULLISH,-0.044587714277107164,0.02108878377970711,-0.09098303859247377
2013-01-25,20:00:00,1659.54,1663.05,1656.76,1658.91,28292,2013,4,1696.1,1659.88,8.496408223928313,-2.1926773185543205,-0.05843795937055855,BULLISH,0.02712624554676372,0.04460760378803003,-0.22605204622312242
2013-01-28,12:00:00,1659.65,1660.26,1653.45,1654.07,30651,2013,5,1695.99,1655.87,12.26261530113888,-2.471712686985187,-0.10870418571505944,BULLISH,0.2460597193589246,0.17834795383508834,0.5471352482059377
2013-06-19,04:00:00,1369.18,1370.28,1364.75,1366.57,14609,2013,25,1394.88,1365.29,16.113337149399158,-2.0295652672631457,0.0937529755583043,BULLISH,0.16830458739764187,0.4683258084108455,-1.4269301975017745
2013-08-07,00:00:00,1283.52,1284.68,1281.84,1282.25,3203,2013,32,1339.07,1283.1,18.41934787302955,-4.24324344507755,-0.06624581092665491,BULLISH,-0.2924546695262234,-0.34860596607526045,0.20120881263403606
2013-08-19,04:00:00,1376.65,1384.4,1375.44,1380.6,39981,2013,34,1379.57,1315.89,88.3134353455526,0.07466094507708726,4.917584296559728,BEARISH,-0.4490801100970461,-1.1437056352310564,-1.2132406200202812
2013-09-11,12:00:00,1365.8,1368.07,1357.66,1360.26,25330,2013,37,1416.35,1359.91,18.3405123554748,-3.9601793342041107,0.02573699730128531,BULLISH,0.16173378618793802,0.33817064384749307,-1.435754929204709
2013-09-12,04:00:00,1364.84,1365.81,1354.02,1360.0,19346,2013,37,1416.35,1359.91,19.43933823529389,-3.9785363787199426,0.006618085020326209,BULLISH,-1.2279411764705916,-2.1220588235294042,-2.5382352941176456
2013-11-01,16:00:00,1312.85,1316.22,1306.15,1311.31,21977,2013,44,1355.8,1310.19,19.55207963028795,-3.2814574421006055,0.08548378479456345,BULLISH,0.3462186668293511,0.02592827020309046,0.5284791544333578
