trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,rsi,distance_to_low_pct,distance_to_high_pct,signal,forward_1,forward_3,forward_6
2023-07-14,17:00:00,15663.19,15732.19,15598.94,15614.44,15052,15616.34,15339.94,84.43999383762133,1.789446373323494,-0.012166743295801937,BEARISH,-0.22094932639274925,-0.32533987770295375,0.5350816295685229
2023-07-21,21:00:00,15538.64,15540.14,15412.39,15438.14,7996,15807.99,15433.99,17.503421450695072,0.026888704735454905,-2.339639637929935,BULLISH,0.027529223079982436,0.25424047197395544,0.19270456155987703
2023-08-03,09:00:00,15383.64,15390.89,15261.29,15338.14,10116,15705.54,15332.49,14.163795803319616,0.03684985282885973,-2.339301927854766,BULLISH,0.14506322148578643,0.22460350472743584,0.7214042902203361
2023-08-17,05:00:00,14864.14,14893.89,14847.64,14867.14,5663,15111.14,14865.09,12.347110923660765,0.013790700224480796,-1.6147027954211264,BULLISH,0.34808308793755893,-0.31445187171170785,-1.1041128286946895
2023-08-17,13:00:00,14919.64,14958.74,14849.64,14870.14,9440,15111.14,14865.09,13.453169347208842,0.03397221274811839,-1.5948498921987357,BULLISH,-0.334563090865318,-0.937449143047743,-1.8957454334659907
2023-08-18,09:00:00,14701.99,14723.24,14665.24,14678.74,8386,14958.74,14683.14,17.99434558456666,-0.029966342349113585,-1.8718154069126143,BULLISH,-0.6165379317298351,0.13182330363505562,0.7487018640564492
2023-08-30,05:00:00,15434.64,15445.89,15395.39,15402.39,3921,15405.34,15026.74,84.49635251639518,2.499876886137643,-0.019149204107151985,BEARISH,-0.3197555704017364,0.38403130942666336,0.5343326587627056
2023-08-31,05:00:00,15484.19,15508.94,15464.44,15484.69,3351,15500.04,15340.64,81.7096649980747,0.9390090635071359,-0.0990320024980604,BEARISH,-0.2631631630985186,0.31902479158445946,0.22764420856988418
2023-10-12,01:00:00,15276.79,15305.79,15272.54,15294.29,4109,15286.84,15126.59,81.47204719131244,1.1086437855458549,0.04873472869475135,BEARISH,0.04478795681263102,-0.20595921745958784,-0.5528206932129643
2023-10-12,05:00:00,15293.79,15303.29,15287.29,15301.14,3662,15286.84,15126.59,81.66622446272208,1.153928281258362,0.09354451279662292,BEARISH,0.061433331111286196,-0.9679017380404241,-0.6872036985479489
2023-10-20,01:00:00,14746.14,14749.14,14712.14,14730.64,5727,15027.94,14731.69,19.264567869635854,-0.0071274918220590525,-1.9783150584844038,BULLISH,-0.05091428478328165,0.008485714130546941,-0.8020696996192945
2023-10-20,05:00:00,14730.39,14750.64,14721.44,14723.14,4407,15027.94,14731.69,13.807944050927958,-0.05803814769385652,-2.028222098304898,BULLISH,0.13584058835275628,-0.3514875223627569,-0.8211563565924093
2023-10-20,09:00:00,14722.14,14781.64,14690.89,14743.14,8816,15027.94,14731.69,17.697500456121134,0.07772360129760338,-1.8951366587835798,BULLISH,-0.07630667551145821,-1.3402843627612473,-2.0680804767505405
2023-10-20,13:00:00,14742.64,14779.89,14699.14,14731.89,11936,15027.94,14731.69,15.760225926938134,0.0013576174899071905,-1.9699972185143213,BULLISH,-0.4106737153209805,-0.8104866381706599,-1.317889286439144
2023-11-06,09:00:00,15123.04,15157.64,15116.74,15149.39,5854,15154.04,14861.54,88.66065619481363,1.9368786814825283,-0.030684886670494828,BEARISH,0.011551620230253497,0.04785671238247877,-0.08647212858074513
2023-11-06,13:00:00,15148.89,15188.54,15122.04,15151.14,7879,15154.04,14861.54,90.37190862752499,1.9486540425823873,-0.019136811041817595,BEARISH,-0.32340800758226773,-0.04422109491430288,0.5504536292318695
2023-11-06,21:00:00,15102.39,15167.89,15076.39,15156.64,6244,15154.04,14861.54,80.44201056131428,1.9856623203248016,0.017157140934025147,BEARISH,-0.08049277412407307,-0.13426458634630462,1.0338703037084784
2023-12-12,09:00:00,16280.94,16296.44,16267.19,16269.44,4756,16262.94,16062.84,80.7816037173836,1.2861984555657677,0.03996817303636366,BEARISH,0.03165443924314319,0.8137956807363967,0.8325424845600027
