trade_date,trade_time,open,high,low,close,volume,prev_daily_high,signal,breakout_count,forward_1,forward_3,forward_6
2024-06-21,16:00:00,0.89254,0.89442,0.89227,0.8943,9086,0.89258,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.011181930001116962,-0.07939170300793788,-0.035782176003576756
2024-06-25,16:00:00,0.89413,0.89496,0.89374,0.89494,6826,0.8945,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.02346526024090246,0.010056540103251,0.29610923637339276
2024-06-26,00:00:00,0.89425,0.89566,0.89424,0.89532,2756,0.89524,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.03239065362105308,0.1027565563150641,0.2177992226243139
2024-06-27,20:00:00,0.89804,0.89885,0.89783,0.89882,3825,0.89828,BULLISH_DAILY_HIGH_BREAKOUT,1,0.073429607707883,0.06897932845286765,-0.023363966088864565
2024-06-28,00:00:00,0.89846,0.89951,0.89778,0.89948,2635,0.89885,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.0011117534575481934,-0.012229288033079499,0.0022235069151087298
2024-07-01,12:00:00,0.90022,0.90243,0.89962,0.90235,6698,0.90096,BULLISH_DAILY_HIGH_BREAKOUT,1,0.12744500470992234,0.1052806560647206,0.20723665983266343
2024-07-02,16:00:00,0.90421,0.90494,0.90315,0.90449,9217,0.90445,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.06080774801269782,-0.03206226713396638,-0.42233744983361293
2024-07-09,00:00:00,0.89637,0.89825,0.89625,0.89818,2508,0.89766,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0011133625776643336,-0.022267251553138342,-0.02560733928610662
2024-07-10,16:00:00,0.8981,0.89972,0.89806,0.89918,6763,0.89901,BULLISH_DAILY_HIGH_BREAKOUT,1,0.04226072643965023,0.004448497519967082,-0.5449409461954242
2024-07-19,00:00:00,0.8865,0.88822,0.88641,0.88798,3739,0.88785,BULLISH_DAILY_HIGH_BREAKOUT,1,0.14865199666659024,0.2072118741413167,0.01914457532827355
2024-07-23,12:00:00,0.89002,0.89202,0.89001,0.89135,6069,0.8902,BULLISH_DAILY_HIGH_BREAKOUT,1,0.028047343916528016,0.05833847534639323,-0.8402984237392715
2024-07-29,08:00:00,0.8831,0.88545,0.8828,0.88518,7293,0.88444,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.038410266838383944,0.10167423574866263,0.09941480828757902
2024-08-07,04:00:00,0.8535,0.8592,0.85298,0.85885,12492,0.85715,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.013972172090587296,0.4866973278220832,0.027944344181174592
