trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
2005-01-04,12:00:00,1.9023,1.9033,1.8921,1.8933,2173,1.9355,1.8981,BEARISH_20_BAR_BREAKOUT,-0.5493054455184052,-0.5281783129984687,-0.7711403369777609
2005-01-04,16:00:00,1.8934,1.8965,1.8806,1.8829,2389,1.9355,1.8921,BEARISH_20_BAR_BREAKOUT,-0.08497530405226224,0.02124382601306261,0.281480694673115
2005-01-07,16:00:00,1.8798,1.8865,1.8672,1.8695,3411,1.9084,1.8696,BEARISH_20_BAR_BREAKOUT,0.09093340465365257,0.20326290451992646,0.28349826156726843
2005-01-12,16:00:00,1.8777,1.894,1.8755,1.8931,2521,1.8865,1.8645,BULLISH_20_BAR_BREAKOUT,-0.12149384607257772,-0.16375257514130806,-0.5282341133590411
2005-01-14,08:00:00,1.8724,1.8744,1.8651,1.8653,2247,1.8942,1.8695,BEARISH_20_BAR_BREAKOUT,0.3270251434085667,0.27877553208599654,0.3591915509569587
2005-01-17,12:00:00,1.8721,1.8735,1.861,1.8617,2062,1.8942,1.8638,BEARISH_20_BAR_BREAKOUT,-0.06982865123273657,-0.17188591072674814,0.48342912391900517
2005-01-17,16:00:00,1.8618,1.8633,1.8584,1.8604,1958,1.8942,1.861,BEARISH_20_BAR_BREAKOUT,-0.005375188131584013,-0.10212857450010819,0.4407654267899368
2005-01-24,08:00:00,1.8764,1.8839,1.8753,1.8832,1766,1.8831,1.8612,BULLISH_20_BAR_BREAKOUT,-0.23895497026337875,-0.12744265080713454,-0.15399320305861847
2005-02-04,20:00:00,1.8847,1.8853,1.8728,1.8747,2369,1.8922,1.8769,BEARISH_20_BAR_BREAKOUT,-0.11201792286765833,-0.1013495492612158,-0.9334826905638274
2005-02-07,00:00:00,1.872,1.874,1.8707,1.8726,674,1.8922,1.8728,BEARISH_20_BAR_BREAKOUT,0.0,-0.03738118124533509,-0.731603118658552
2005-02-07,16:00:00,1.8719,1.8727,1.8604,1.8605,2097,1.8922,1.8677,BEARISH_20_BAR_BREAKOUT,-0.17737167428111156,-0.24187046492877984,-0.22037086804622374
2005-02-07,20:00:00,1.8606,1.8618,1.8547,1.8572,1747,1.8922,1.8604,BEARISH_20_BAR_BREAKOUT,0.09153564505707705,-0.0699978462201086,-0.1292267930217509
2005-02-14,04:00:00,1.8719,1.8794,1.8717,1.8773,1664,1.8733,1.8507,BULLISH_20_BAR_BREAKOUT,0.2823203536994664,0.7670590742023101,0.4208171309859915
2005-02-14,08:00:00,1.8774,1.8833,1.875,1.8826,1798,1.8794,1.8507,BULLISH_20_BAR_BREAKOUT,0.1806012960798814,0.3080845639009894,0.33995538085626054
2005-02-14,12:00:00,1.8828,1.8877,1.88,1.886,2089,1.8833,1.8507,BULLISH_20_BAR_BREAKOUT,0.30222693531283346,0.021208907741260764,0.068928950159071
2005-02-14,16:00:00,1.8861,1.8918,1.8856,1.8917,2134,1.8877,1.8507,BULLISH_20_BAR_BREAKOUT,-0.17444626526404075,-0.3436062800655469,-0.1533012634138554
2005-02-15,20:00:00,1.8888,1.8978,1.8886,1.8967,1674,1.8965,1.8507,BULLISH_20_BAR_BREAKOUT,-0.1476248220593734,-0.22670954816259664,-0.6274054937523078
2005-02-21,08:00:00,1.8932,1.8996,1.8923,1.8988,1642,1.8979,1.8753,BULLISH_20_BAR_BREAKOUT,-0.2106593638087215,-0.1105961659995782,0.41078575942700807
2005-02-22,04:00:00,1.896,1.9048,1.8952,1.9044,1538,1.9001,1.8767,BULLISH_20_BAR_BREAKOUT,0.11552194917034128,0.23104389834068256,0.16278092837638522
2005-02-22,08:00:00,1.9044,1.9093,1.9039,1.9066,1935,1.9048,1.8835,BULLISH_20_BAR_BREAKOUT,0.05244938634217401,0.22553236127137158,0.09965383405014228
2005-02-25,16:00:00,1.909,1.9164,1.9083,1.9147,2186,1.9144,1.9015,BULLISH_20_BAR_BREAKOUT,0.22457826291324856,0.33947876952002665,0.5013840288295728
2005-02-25,20:00:00,1.9148,1.92,1.9145,1.919,1955,1.9164,1.9015,BULLISH_20_BAR_BREAKOUT,0.18759770713913743,0.28660760812923713,0.16154247003647113
2005-02-28,00:00:00,1.9173,1.9228,1.9163,1.9226,707,1.92,1.9015,BULLISH_20_BAR_BREAKOUT,-0.07281805887860543,-0.04161031935920805,-0.1664412774368091
2005-02-28,08:00:00,1.9211,1.9248,1.9195,1.9245,1788,1.924,1.9015,BULLISH_20_BAR_BREAKOUT,-0.14029618082619624,-0.12470771628995476,-0.2702000519615533
2005-03-04,16:00:00,1.9078,1.9276,1.907,1.9243,2636,1.9231,1.9054,BULLISH_20_BAR_BREAKOUT,-0.08314711843266766,-0.11432728784492958,-0.40014550745724775
2005-03-08,16:00:00,1.9231,1.9328,1.9219,1.9291,2201,1.9276,1.9054,BULLISH_20_BAR_BREAKOUT,-0.025918822248714165,-0.02073505779897133,-0.2384531646881933
2005-03-14,16:00:00,1.9185,1.9194,1.9099,1.9111,2104,1.9322,1.9163,BEARISH_20_BAR_BREAKOUT,0.1465124797237148,0.26162942807806466,0.07848882842342404
2005-03-21,08:00:00,1.9131,1.918,1.9052,1.9057,1972,1.9295,1.911,BEARISH_20_BAR_BREAKOUT,-0.22039145720732442,-0.3725665109933297,-0.27811302933304616
2005-03-21,12:00:00,1.9061,1.9073,1.9001,1.9015,2069,1.9295,1.9052,BEARISH_20_BAR_BREAKOUT,-0.21036024191427838,-0.32079936891927396,-0.17880620562714014
2005-03-21,16:00:00,1.9014,1.9028,1.8952,1.8975,2036,1.9295,1.9001,BEARISH_20_BAR_BREAKOUT,0.057971014492758946,-0.015810276679840158,0.10540184453227941
2005-03-22,20:00:00,1.8996,1.9025,1.8799,1.8853,2108,1.9271,1.8942,BEARISH_20_BAR_BREAKOUT,0.02121678247493534,-0.08486712989975313,-0.928234233278527
2005-03-23,12:00:00,1.8837,1.8845,1.8763,1.8776,2330,1.9246,1.8799,BEARISH_20_BAR_BREAKOUT,-0.3248828291435873,-0.48998721772474835,-0.4047720494247885
2005-03-23,16:00:00,1.8777,1.8791,1.8697,1.8715,2432,1.923,1.8763,BEARISH_20_BAR_BREAKOUT,-0.19770237777184274,0.032059845044090624,-0.03740315255142521
2005-03-23,20:00:00,1.8715,1.8718,1.8661,1.8678,1811,1.9229,1.8697,BEARISH_20_BAR_BREAKOUT,0.03212335367813235,0.19274012206874652,0.10172395331406
2005-03-28,04:00:00,1.8693,1.8705,1.8593,1.8632,1610,1.9025,1.8661,BEARISH_20_BAR_BREAKOUT,-0.04830399313009344,0.01610133104336448,0.3005581794761727
2005-03-29,16:00:00,1.8733,1.8761,1.8711,1.8756,2062,1.8751,1.8593,BULLISH_20_BAR_BREAKOUT,0.02665813606313537,0.14928556195351544,0.3305608871827673
2005-03-30,04:00:00,1.8752,1.8791,1.8742,1.8784,1388,1.8768,1.8593,BULLISH_20_BAR_BREAKOUT,0.05856047700169713,0.1810051107325302,0.04258943781941609
2005-03-30,08:00:00,1.8784,1.8812,1.8778,1.8795,1826,1.8791,1.8593,BULLISH_20_BAR_BREAKOUT,0.1276935355147623,0.02128225591912508,0.026602819898906352
2005-03-30,12:00:00,1.8794,1.8838,1.8773,1.8819,2176,1.8812,1.8593,BULLISH_20_BAR_BREAKOUT,-0.005313778627981773,-0.06907912216376305,0.07439290079175663
2005-03-31,16:00:00,1.8834,1.8921,1.8816,1.8885,2237,1.885,1.8597,BULLISH_20_BAR_BREAKOUT,0.0688377018797912,-0.14297061159651292,-0.4924543288324112
2005-04-07,20:00:00,1.8775,1.8777,1.868,1.8699,1756,1.8862,1.8709,BEARISH_20_BAR_BREAKOUT,-0.11765335044654687,-0.0641745547890191,0.8717043692176161
2005-04-08,00:00:00,1.8697,1.8715,1.8672,1.8677,1267,1.8862,1.868,BEARISH_20_BAR_BREAKOUT,0.10172939979654189,0.09637522085988243,0.8352519141189729
2005-04-11,08:00:00,1.883,1.8921,1.8825,1.8907,1853,1.8862,1.8671,BULLISH_20_BAR_BREAKOUT,-0.03173427830962903,0.0052890463849362135,0.04231237107948971
2005-04-14,12:00:00,1.8875,1.8883,1.8803,1.881,2277,1.8958,1.8812,BEARISH_20_BAR_BREAKOUT,0.015948963317382613,-0.015948963317382613,0.3508771929824529
2005-04-18,08:00:00,1.8891,1.9006,1.8887,1.8997,1849,1.8958,1.8757,BULLISH_20_BAR_BREAKOUT,-0.026319945254510972,0.22108754013791554,0.36847923356320034
2005-04-18,16:00:00,1.8991,1.9059,1.8977,1.9036,2234,1.9012,1.8757,BULLISH_20_BAR_BREAKOUT,0.015759613364150396,0.0105064089094336,0.5988653078377851
2005-04-19,08:00:00,1.904,1.9108,1.9035,1.9067,2314,1.9059,1.8757,BULLISH_20_BAR_BREAKOUT,0.2569885141868099,0.6293596265799555,0.419573084386637
2005-04-19,12:00:00,1.9066,1.9131,1.9051,1.9116,2506,1.9108,1.8757,BULLISH_20_BAR_BREAKOUT,0.1778614772965092,0.30864197530864285,0.03661853944340578
2005-04-19,16:00:00,1.9116,1.9182,1.9097,1.915,2366,1.9131,1.8757,BULLISH_20_BAR_BREAKOUT,0.19321148825065465,0.13054830287205987,0.21409921671018237
2005-04-19,20:00:00,1.9152,1.921,1.9146,1.9187,1943,1.9182,1.8757,BULLISH_20_BAR_BREAKOUT,-0.06254234638036638,-0.2084744879345392,0.04169489758690321
2005-04-27,08:00:00,1.9058,1.9067,1.8987,1.9005,2175,1.9177,1.902,BEARISH_20_BAR_BREAKOUT,0.3946329913180658,0.273612207313858,0.18942383583266642
2005-05-02,16:00:00,1.8994,1.9006,1.8925,1.8932,2109,1.9163,1.8987,BEARISH_20_BAR_BREAKOUT,0.08979505598986028,-0.05282062117049915,-0.07923093175576044
2005-05-05,16:00:00,1.9053,1.9079,1.9029,1.9067,2334,1.9066,1.8884,BULLISH_20_BAR_BREAKOUT,-0.00524466355483238,-0.27796716840615104,-0.739497561231447
2005-05-09,04:00:00,1.8907,1.8912,1.8859,1.8869,1918,1.9079,1.8884,BEARISH_20_BAR_BREAKOUT,-0.1589909375165676,-0.2437861041920577,-0.11659335417881073
2005-05-09,08:00:00,1.8865,1.8886,1.8823,1.8839,2292,1.9079,1.8859,BEARISH_20_BAR_BREAKOUT,-0.10085461011731052,-0.010616274749189341,-0.1910929454854199
2005-05-09,12:00:00,1.8839,1.8855,1.8805,1.882,2220,1.9079,1.8823,BEARISH_20_BAR_BREAKOUT,0.015940488841667856,0.010626992561115836,-0.015940488841656057
2005-05-11,12:00:00,1.8888,1.8897,1.8742,1.8746,2442,1.9029,1.8762,BEARISH_20_BAR_BREAKOUT,-0.10135495572388845,-0.11202389843166492,-0.7254881041288839
2005-05-11,16:00:00,1.8748,1.8778,1.8711,1.8727,2782,1.9028,1.8742,BEARISH_20_BAR_BREAKOUT,-0.010679767181074277,-0.08543813744860607,-0.4004912692903328
2005-05-12,08:00:00,1.8714,1.8724,1.863,1.8651,2385,1.8915,1.8695,BEARISH_20_BAR_BREAKOUT,-0.21982735510160273,0.021446571229422333,-0.3431451396707931
2005-05-12,12:00:00,1.8653,1.87,1.8602,1.861,2453,1.8915,1.863,BEARISH_20_BAR_BREAKOUT,0.22568511552928436,0.16120365394949565,-0.3116603976356812
