trade_date,trade_time,open,high,low,close,volume,rsi
2009-02-02,08:00:00,1.272,1.2765,1.2706,1.2756,21429,19.250425894378054
2009-02-06,12:00:00,1.2793,1.2837,1.2783,1.2795,18327,19.420289855073577
2009-02-17,12:00:00,1.2637,1.2672,1.2603,1.2627,4934,14.823529411764639
2009-02-17,16:00:00,1.2628,1.2639,1.2562,1.2569,7489,13.606911447084158
2009-02-18,00:00:00,1.2607,1.2607,1.2558,1.2579,2282,14.726840855106843
2009-02-18,04:00:00,1.258,1.2612,1.2579,1.2593,2309,18.05225653206662
2009-02-18,20:00:00,1.2545,1.2577,1.2533,1.2552,4288,19.834710743802276
2009-03-02,20:00:00,1.2579,1.2604,1.2565,1.2574,3073,17.867435158501408
2009-03-03,00:00:00,1.2575,1.2584,1.2538,1.2567,2429,19.37499999999993
2009-03-19,04:00:00,1.3452,1.3472,1.3416,1.3454,2842,83.96094839609478
2009-03-19,08:00:00,1.3455,1.3511,1.3418,1.3476,4557,84.26812585499306
2009-03-19,12:00:00,1.3477,1.3684,1.3458,1.3639,5219,86.53395784543316
2009-03-19,16:00:00,1.364,1.3737,1.3625,1.37,6101,90.39548022598876
2009-03-19,20:00:00,1.3701,1.3702,1.3634,1.3665,3508,88.6917960088692
2009-03-20,00:00:00,1.3664,1.3676,1.3649,1.3656,1819,87.41496598639444
2009-03-20,04:00:00,1.3655,1.3673,1.3615,1.3659,2163,87.16763005780334
2009-03-20,08:00:00,1.3658,1.3726,1.3629,1.3676,3094,88.01369863013703
2009-03-20,16:00:00,1.3587,1.36495,1.35169,1.35721,16234,81.15722180084515
2009-03-30,08:00:00,1.3272,1.32733,1.31651,1.31761,7189,18.134236453202064
2009-03-30,16:00:00,1.31927,1.32101,1.31131,1.31431,12574,17.136465324385043
2009-03-30,20:00:00,1.31436,1.32005,1.31121,1.31951,7364,18.294117647058812
2009-04-08,08:00:00,1.31779,1.32025,1.31478,1.31992,9592,18.890093998553667
2009-04-20,08:00:00,1.30164,1.30176,1.29579,1.2961,8764,17.90697674418604
2009-04-20,20:00:00,1.29301,1.29396,1.28979,1.29207,6188,12.732295328980257
2009-04-21,00:00:00,1.29203,1.29336,1.28967,1.29136,4703,13.223787167448961
