trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2017-01-20,20:00:00,1.23219,1.23801,1.23184,1.23701,52310,1.23305,1.22688,BULLISH_NEWYORK_BREAKOUT,1,0,0.11802653171761077,0.7000751812839114,1.0614303845563162
2017-01-23,20:00:00,1.24936,1.25024,1.24648,1.25014,26533,1.24949,1.24289,BULLISH_NEWYORK_BREAKOUT,1,0,0.10718799494455797,-0.25997088326107276,0.007199193690300564
2017-01-25,20:00:00,1.26037,1.26274,1.25923,1.26244,27633,1.26163,1.25493,BULLISH_NEWYORK_BREAKOUT,1,0,0.07049839992396133,0.033268907829289866,-0.14258103355407178
2017-01-26,20:00:00,1.25887,1.26112,1.25628,1.26064,25989,1.25959,1.2556,BULLISH_NEWYORK_BREAKOUT,1,0,-0.09281000126918813,-0.40217667216651126,-0.4886406904429451
2017-01-30,20:00:00,1.25151,1.25177,1.24653,1.24839,25610,1.25358,1.249,BEARISH_NEWYORK_BREAKOUT,0,1,0.12335888624547414,0.0032041269154525396,0.7657863327966252
2017-02-01,20:00:00,1.26457,1.2679,1.26125,1.26741,36788,1.26598,1.26119,BULLISH_NEWYORK_BREAKOUT,1,0,-0.12466368420636692,-0.07101095935805311,-1.1787819253438077
2017-02-02,20:00:00,1.25293,1.25635,1.25213,1.25247,26229,1.26978,1.25264,BEARISH_NEWYORK_BREAKOUT,0,1,-0.051099028320037515,-0.0487037613675377,-0.3776537561777848
2017-02-07,20:00:00,1.24288,1.2546,1.24278,1.25183,31596,1.243,1.23502,BULLISH_NEWYORK_BREAKOUT,1,0,-0.18373101778995302,-0.22367254339646067,0.06390644097041227
2017-02-09,20:00:00,1.25275,1.25407,1.24918,1.24944,27756,1.25771,1.25171,BEARISH_NEWYORK_BREAKOUT,0,1,0.0008003585606226362,-0.10164553720067424,-0.13686131386862116
2017-02-17,20:00:00,1.24306,1.24504,1.24017,1.24017,27951,1.2437,1.24121,BEARISH_NEWYORK_BREAKOUT,0,1,0.2152930646604861,0.2370642734463777,0.5015441431416753
2017-02-21,20:00:00,1.24674,1.24765,1.24543,1.24732,18358,1.24731,1.24009,BULLISH_NEWYORK_BREAKOUT,1,0,0.10342173620241907,0.1114389250553188,-0.1346887727287227
2017-02-24,20:00:00,1.24878,1.25032,1.24466,1.24493,26881,1.25652,1.24825,BEARISH_NEWYORK_BREAKOUT,0,1,-0.4032355232824355,-0.28435333713542915,-0.050605254913941376
2017-02-28,20:00:00,1.24455,1.24493,1.24018,1.2402,22686,1.24703,1.24037,BEARISH_NEWYORK_BREAKOUT,0,1,-0.19674246089340408,-0.2547976132881835,-0.9740364457345484
2017-03-03,20:00:00,1.22605,1.23001,1.22337,1.22857,34818,1.22811,1.22226,BULLISH_NEWYORK_BREAKOUT,1,0,0.11151175757181875,-0.11883734748528915,-0.384186493240095
2017-03-06,20:00:00,1.22536,1.22565,1.22237,1.22385,18412,1.22788,1.22435,BEARISH_NEWYORK_BREAKOUT,0,1,0.0008170935980588689,-0.1266495077011204,-0.29987335049230396
2017-03-15,20:00:00,1.22206,1.2302,1.21929,1.2297,41944,1.22255,1.21901,BULLISH_NEWYORK_BREAKOUT,1,0,-0.12686020980727053,-0.2024884118077664,0.48060502561601054
2017-03-17,20:00:00,1.23697,1.24044,1.23668,1.23893,21642,1.2376,1.23454,BULLISH_NEWYORK_BREAKOUT,1,0,-0.05327177483797348,0.22519432090593078,-0.2679731703970353
2017-03-20,20:00:00,1.2365,1.23709,1.23345,1.23561,20423,1.23959,1.23637,BEARISH_NEWYORK_BREAKOUT,0,1,0.08174100241985378,0.04046584278210316,1.011646069552687
2017-03-22,20:00:00,1.24749,1.24896,1.24674,1.24869,22451,1.24768,1.24224,BULLISH_NEWYORK_BREAKOUT,1,0,-0.13213848112823448,-0.08248644579520027,0.2706836764929597
2017-03-24,20:00:00,1.24886,1.25082,1.24595,1.24595,24730,1.24979,1.24684,BEARISH_NEWYORK_BREAKOUT,0,1,0.434206830129631,0.676592158593857,0.8531642521770648
2017-03-28,20:00:00,1.25345,1.25371,1.24406,1.24508,26122,1.25629,1.25266,BEARISH_NEWYORK_BREAKOUT,0,1,0.03774857840459814,-0.4007774600828903,-0.12288367012561693
2017-04-07,20:00:00,1.2397,1.2402,1.23581,1.23597,21442,1.24502,1.23816,BEARISH_NEWYORK_BREAKOUT,0,1,0.11165319546590426,0.301787260208582,0.4045405632822717
2017-04-12,20:00:00,1.24986,1.25427,1.24815,1.25306,24117,1.25203,1.24897,BULLISH_NEWYORK_BREAKOUT,1,0,0.14045616331221042,0.19312722455428047,-0.20509792029112422
2017-04-13,20:00:00,1.25206,1.25247,1.25019,1.25049,18086,1.25405,1.25092,BEARISH_NEWYORK_BREAKOUT,0,1,-0.015194043934788322,0.0575774296475647,0.09036457708577063
2017-04-18,20:00:00,1.27663,1.29048,1.27535,1.28433,25780,1.2768,1.26581,BULLISH_NEWYORK_BREAKOUT,1,0,0.0015572321755414128,-0.1681810749573661,-0.44458978611415145
2017-04-21,20:00:00,1.27808,1.28104,1.27789,1.27992,20128,1.27991,1.27556,BULLISH_NEWYORK_BREAKOUT,1,0,0.18282392649540666,0.10547534220888512,-0.0804737796112151
2017-05-01,20:00:00,1.2916,1.29207,1.28858,1.28889,15784,1.29355,1.29151,BEARISH_NEWYORK_BREAKOUT,0,1,0.05663788220871427,-0.18387915182831607,0.35146521425411964
