trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,body,upper_wick,lower_wick,range,bullish_pinbar,bearish_pinbar,signal,forward_1,forward_3,forward_6
1985-03-15,00:00:00,0.5775,0.579,0.5751,0.5776,771,0.578,0.5775,9.999999999998899e-05,0.0013999999999999568,0.0024000000000000687,0.0039000000000000146,True,False,BULLISH_SWEEP_PINBAR,0.9695290858725848,3.93005540166204,4.795706371191127
1985-03-21,00:00:00,0.6059,0.6094,0.5993,0.6061,2001,0.6003,0.5998,0.00019999999999997797,0.0033000000000000806,0.006599999999999939,0.010099999999999998,True,False,BULLISH_SWEEP_PINBAR,0.1154924929879614,0.31347962382445355,4.636198647087942
1985-04-08,00:00:00,0.6157,0.6182,0.6112,0.6159,1381,0.6158,0.6158,0.00019999999999997797,0.0022999999999999687,0.0045000000000000595,0.007000000000000006,True,False,BULLISH_SWEEP_PINBAR,0.990420522812144,2.581587920116906,5.065757428153922
1985-04-26,00:00:00,0.623,0.6241,0.6202,0.6232,761,0.6288,0.6208,0.00019999999999997797,0.0009000000000000119,0.0028000000000000247,0.0039000000000000146,True,False,BULLISH_SWEEP_PINBAR,0.8504492939666193,0.2567394094993655,-2.84017971758664
1985-05-09,00:00:00,0.6229,0.6286,0.6123,0.6232,3231,0.6127,0.6125,0.00029999999999996696,0.005400000000000071,0.010600000000000054,0.016300000000000092,True,False,BULLISH_SWEEP_PINBAR,0.5295250320924213,2.90436456996149,2.1181001283697034
1985-05-16,00:00:00,0.6346,0.6375,0.6329,0.6344,901,0.6362,0.6356,0.000200000000000089,0.0028999999999999027,0.0014999999999999458,0.0045999999999999375,False,True,BEARISH_SWEEP_PINBAR,0.31525851197982374,0.6147540983606581,-0.26796973518283795
1985-05-31,00:00:00,0.6373,0.6394,0.633,0.6374,1271,0.6365,0.635,9.999999999998899e-05,0.0020000000000000018,0.0042999999999999705,0.006399999999999961,True,False,BULLISH_SWEEP_PINBAR,0.8315029808597557,-0.12550988390334356,-1.0354565422026891
1985-07-11,00:00:00,0.6678,0.6701,0.6636,0.668,1281,0.6656,0.6649,0.000200000000000089,0.0020999999999999908,0.0041999999999999815,0.006500000000000061,True,False,BULLISH_SWEEP_PINBAR,1.1526946107784324,1.4221556886227473,1.377245508982034
1985-08-01,00:00:00,0.6959,0.7015,0.6928,0.6957,1721,0.7008,0.6985,0.00019999999999997797,0.005600000000000049,0.0029000000000000137,0.008700000000000041,False,True,BEARISH_SWEEP_PINBAR,-0.546212447894211,-1.2936610608020709,-0.7187005893344839
1985-09-04,00:00:00,0.6868,0.6879,0.6861,0.6866,341,0.6875,0.6853,0.00019999999999997797,0.0010999999999999899,0.0004999999999999449,0.0017999999999999128,False,True,BEARISH_SWEEP_PINBAR,-0.23303233323622705,-3.2624526653073076,-3.480920477716288
1985-09-12,00:00:00,0.6625,0.6642,0.6597,0.6627,881,0.6656,0.6606,0.00019999999999997797,0.0015000000000000568,0.0028000000000000247,0.0045000000000000595,True,False,BULLISH_SWEEP_PINBAR,1.6146069111211774,2.1729289271163545,3.183944469594086
1985-09-19,00:00:00,0.6731,0.6744,0.6707,0.6729,721,0.6732,0.673,0.00019999999999997797,0.0012999999999999678,0.0022000000000000908,0.0037000000000000366,False,True,BEARISH_SWEEP_PINBAR,1.6198543617179237,7.088720463664728,8.70857482538267
1985-09-25,00:00:00,0.7264,0.7296,0.72,0.7266,1901,0.7219,0.7201,0.00019999999999997797,0.0030000000000000027,0.006400000000000072,0.009600000000000053,True,False,BULLISH_SWEEP_PINBAR,1.2248830167905338,0.5780346820809223,2.422240572529583
1985-10-21,00:00:00,0.7421,0.743,0.7413,0.7419,321,0.7425,0.7417,0.00019999999999997797,0.0009000000000000119,0.0006000000000000449,0.0017000000000000348,False,True,BEARISH_SWEEP_PINBAR,-0.2695781102574473,-0.45828278743765444,0.41784607089904185
1985-10-25,00:00:00,0.738,0.7393,0.7371,0.7381,431,0.7393,0.7378,9.999999999998899e-05,0.0011999999999999789,0.0009000000000000119,0.0021999999999999797,True,False,BULLISH_SWEEP_PINBAR,0.3522557918981231,1.0703156753827419,2.0864381520119184
1985-10-30,00:00:00,0.7461,0.7475,0.7456,0.746,371,0.7461,0.7429,9.999999999998899e-05,0.0014000000000000679,0.00039999999999995595,0.0019000000000000128,False,True,BEARISH_SWEEP_PINBAR,0.1072386058981264,1.0053619302948995,0.18766756032171003
1985-10-31,00:00:00,0.747,0.7476,0.7467,0.7468,161,0.7475,0.7456,0.00019999999999997797,0.0006000000000000449,9.999999999998899e-05,0.0009000000000000119,False,True,BEARISH_SWEEP_PINBAR,0.5088377075522262,0.18746652383502366,-0.20085698982325342
1985-11-18,00:00:00,0.7472,0.748,0.7453,0.7474,521,0.7484,0.7454,0.00019999999999997797,0.0006000000000000449,0.0019000000000000128,0.0027000000000000357,True,False,BULLISH_SWEEP_PINBAR,0.5619480867005744,0.8696815627508779,2.3280706449023394
1986-01-06,00:00:00,0.7962,0.7991,0.7909,0.7964,1621,0.7947,0.7944,0.00019999999999997797,0.0027000000000000357,0.005299999999999971,0.008199999999999985,True,False,BULLISH_SWEEP_PINBAR,0.6780512305374133,0.10045203415369448,-0.5901557006529429
