trade_date,trade_time,open,high,low,close,volume,rsi,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
2023-10-20,13:00:00,14742.64,14779.89,14699.14,14731.89,11936,15.760225926938134,14781.64,14690.89,True,BULLISH_INSIDE_BAR,-0.4106737153209805,-0.8104866381706599,-1.317889286439144
2023-10-26,21:00:00,14146.34,14248.99,14096.99,14125.99,11257,10.338960868996196,14298.24,14062.09,True,BULLISH_INSIDE_BAR,0.656237191163244,0.8402950872823833,0.41943962865611545
2023-11-03,01:00:00,14867.04,14891.79,14862.54,14887.54,3777,86.04461572667313,14933.04,14858.04,True,BEARISH_INSIDE_BAR,0.04030215871796146,1.0999130816776983,1.5146894651500515
2023-11-06,05:00:00,15113.29,15126.54,15106.79,15122.29,3184,89.13817663817665,15130.79,15095.54,True,BEARISH_INSIDE_BAR,0.17920566263441942,-0.13324701483704818,0.0770385966675658
2023-11-06,21:00:00,15102.39,15167.89,15076.39,15156.64,6244,80.44201056131428,15177.99,15072.39,True,BEARISH_INSIDE_BAR,-0.08049277412407307,-0.13426458634630462,1.0338703037084784
2023-12-12,05:00:00,16274.19,16285.69,16268.94,16281.19,2879,83.31315088399136,16290.19,16246.69,True,BEARISH_INSIDE_BAR,-0.07216917190942432,0.33259239650172767,0.7545517250274725
2023-12-12,17:00:00,16273.59,16338.34,16261.84,16335.34,11016,83.64602537685722,16350.19,16204.59,True,BEARISH_INSIDE_BAR,0.40709284287930336,0.42056057602719454,0.38842166737882855
2023-12-14,05:00:00,16675.99,16688.99,16656.49,16682.99,3825,92.88669155483808,16692.24,16592.99,True,BEARISH_INSIDE_BAR,-0.18581800984116156,-1.2518739146879676,-0.6248879847077772
2023-12-28,05:00:00,16983.79,16984.04,16970.29,16982.79,2494,82.41284086986599,16985.54,16949.54,True,BEARISH_INSIDE_BAR,-0.022081177474372583,-0.21727878634783482,-0.2340604812283494
2024-01-04,01:00:00,16403.84,16410.09,16380.59,16399.09,3586,10.999146029034705,16473.34,16366.84,True,BULLISH_INSIDE_BAR,0.10671323835651857,-0.5661899532230165,-0.6015577693640296
2024-01-22,05:00:00,17433.49,17438.49,17413.74,17426.24,4274,94.02956543902144,17455.49,17357.99,True,BEARISH_INSIDE_BAR,-0.03012698092072644,-0.3520552913307872,-0.34430835337973076
2024-01-22,21:00:00,17365.89,17374.89,17327.14,17343.14,6784,81.08415735932272,17434.74,17319.64,True,BEARISH_INSIDE_BAR,0.08994910956148762,-0.035460706654030456,0.5693893954612602
2024-01-23,05:00:00,17358.49,17372.24,17353.99,17366.24,4379,80.13571370870024,17377.24,17340.49,True,BEARISH_INSIDE_BAR,-0.16843024166428655,0.019002386239043524,0.8182542680511069
2024-02-06,01:00:00,17629.99,17653.74,17616.24,17646.99,3882,81.29139072847745,17665.24,17594.99,True,BEARISH_INSIDE_BAR,0.06658359300934606,-0.4193349687397114,-0.19861744127470413
2024-02-09,01:00:00,17785.84,17805.34,17780.59,17788.84,3642,81.01968035926578,17806.29,17755.29,True,BEARISH_INSIDE_BAR,0.005621502020367826,0.4705197191047911,0.9986598339183524
2024-02-09,05:00:00,17789.09,17799.09,17788.09,17789.84,2128,80.09970918155396,17805.34,17780.59,True,BEARISH_INSIDE_BAR,0.2889289616994951,0.9800537835078816,0.9452024301511507
2024-02-12,05:00:00,17967.24,17968.74,17950.74,17957.99,1812,82.09229637801154,17976.99,17938.24,True,BEARISH_INSIDE_BAR,0.15591945423736175,0.0016705655811105383,-0.37309297978225847
2024-02-14,01:00:00,17626.79,17633.79,17606.04,17610.79,4876,18.508287292818395,17640.84,17482.09,True,BULLISH_INSIDE_BAR,0.1618326037616711,0.6382450758881221,1.141629648641539
2024-02-23,01:00:00,17987.84,18006.09,17971.84,17996.84,14942,80.26478375992957,18038.94,17965.59,True,BEARISH_INSIDE_BAR,0.013891327588621112,0.2194829759002136,-0.4417442173181514
2024-03-04,05:00:00,18333.74,18334.49,18320.24,18328.74,2629,81.05636431504294,18341.74,18305.99,True,BEARISH_INSIDE_BAR,-0.12548598539779604,-0.2714316423278414,-0.9146837153017688
2024-04-17,21:00:00,17593.31,17646.69,17490.69,17515.54,9283,16.835370011013822,17743.81,17468.31,True,BULLISH_INSIDE_BAR,0.2375033827104305,0.27318598227630175,-0.7439108357492791
2024-05-02,01:00:00,17385.39,17442.14,17385.39,17436.39,5191,19.312940236124717,17684.64,17320.39,True,BULLISH_INSIDE_BAR,0.0014337830250413075,-0.24804446333214616,1.3359990227334944
2024-05-03,21:00:00,17884.21,17925.59,17884.21,17923.59,6034,84.0913286971506,17936.04,17792.84,True,BEARISH_INSIDE_BAR,-0.035986094303656395,0.13836513778768245,0.9255958209265077
2024-05-07,01:00:00,18083.94,18101.44,18074.44,18086.44,3319,92.06270813343073,18104.39,18027.14,True,BEARISH_INSIDE_BAR,-0.00829350607416385,0.06148252502981582,0.05777809231667884
2024-05-07,05:00:00,18086.19,18094.94,18081.94,18084.94,2775,89.8004238784876,18101.44,18074.44,True,BEARISH_INSIDE_BAR,-0.03594150713245386,0.01891076221431695,0.012994237194053078
2024-05-08,01:00:00,18082.52,18106.98,18074.34,18096.89,4561,85.66873636516085,18112.25,18060.72,True,BEARISH_INSIDE_BAR,-0.053047788874212895,-0.2245137147874636,-0.11825236269877211
2024-05-15,01:00:00,18308.2,18328.07,18302.14,18322.81,4736,84.32428023815285,18336.11,18233.65,True,BEARISH_INSIDE_BAR,-0.03198199402821173,0.34869105775805903,1.6560232846381109
