trade_date,trade_time,open,high,low,close,volume,momentum,forward_1,forward_3,forward_6
2018-11-23,12:00:00,1.14127,1.14183,1.13371,1.13474,17750,BEARISH_NY_OPEN,0.1885894566155955,-0.6027812538555245,-0.11544494774134552
2018-11-26,12:00:00,1.13623,1.13834,1.13569,1.13688,15788,BULLISH_NY_OPEN,-0.43716135388078947,-0.023749208359720685,0.22165927802407273
2018-11-27,12:00:00,1.13114,1.13315,1.13048,1.13191,17815,BULLISH_NY_OPEN,-0.3542684489049544,0.45851701990441185,0.312745712998392
2018-11-28,12:00:00,1.12779,1.12939,1.12667,1.1279,15762,BULLISH_NY_OPEN,0.7722315808139016,0.49029169252593635,0.5248692259952255
2018-11-29,12:00:00,1.13889,1.13971,1.13483,1.13661,16393,BEARISH_NY_OPEN,0.043110653610306214,0.24546678280149484,0.12669253305884234
2018-11-30,12:00:00,1.13808,1.13883,1.13571,1.1371,16834,BEARISH_NY_OPEN,-0.3227508574443815,-0.14510597133057157,0.3341834491249693
2018-12-03,12:00:00,1.13681,1.13734,1.13189,1.13343,14182,BEARISH_NY_OPEN,0.5267197797834918,0.03440882983511223,0.5134856144623099
2018-12-04,12:00:00,1.13799,1.14185,1.13752,1.1394,19798,BULLISH_NY_OPEN,-0.34667368790590647,-0.11848341232227157,-0.5248376338423622
2018-12-05,12:00:00,1.13306,1.13578,1.13211,1.13545,10526,BULLISH_NY_OPEN,-0.1435554185565212,0.4799859086705671,0.21048923334359876
2018-12-06,12:00:00,1.13239,1.13459,1.13205,1.13382,17895,BULLISH_NY_OPEN,0.3730750912843269,0.47891199661322303,-0.47626607398000315
2018-12-07,12:00:00,1.13726,1.13837,1.13625,1.13805,13993,BULLISH_NY_OPEN,0.25042836430736953,-0.4068362549975758,-0.26800228460963904
2018-12-10,12:00:00,1.14258,1.14343,1.14015,1.1409,17389,BEARISH_NY_OPEN,-0.14462266631606005,-0.26820930844071017,-0.13761065825226323
