trade_date,trade_time,open,high,low,close,volume,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2012-03-05,08:00:00,0.91359,0.91605,0.91221,0.91439,15353,2012-03-05/2012-03-11,0.91478,0.8934,81.68346176645011,-0.04263320142547951,2.349451533467659,BEARISH_WEEKLY_STRUCTURE,-0.31058957337679377,-0.23403580529096235,0.03608963352616952
2012-08-07,00:00:00,0.9691,0.9698,0.9681,0.9686,3824,2012-08-06/2012-08-12,0.9898,0.969,11.788617886178884,-2.141846837744999,-0.041279669762637354,BULLISH_WEEKLY_STRUCTURE,0.09291761304976377,-0.19615940532727777,0.020648358455500514
2012-08-07,04:00:00,0.9687,0.9697,0.9682,0.9695,3370,2012-08-06/2012-08-12,0.9898,0.969,15.833333333333428,-2.050919377652049,0.05159958720330815,BULLISH_WEEKLY_STRUCTURE,-0.10314595152140288,-0.22692109334708405,-0.030943785456428875
2012-08-07,08:00:00,0.9694,0.9705,0.9664,0.9685,4926,2012-08-06/2012-08-12,0.9898,0.969,12.757201646090508,-2.151949888866436,-0.05159958720329669,BULLISH_WEEKLY_STRUCTURE,-0.18585441404233596,0.020650490449145895,0.3200826019617957
2012-11-27,00:00:00,0.9276,0.928,0.9252,0.9275,7337,2012-11-26/2012-12-02,0.9458,0.9264,16.29629629629619,-1.934869951363923,0.11873920552676918,BULLISH_WEEKLY_STRUCTURE,-0.010781671159028462,0.26954177897574744,0.35579514824797515
2012-11-27,04:00:00,0.9276,0.9281,0.927,0.9274,3695,2012-11-26/2012-12-02,0.9458,0.9264,18.333333333333158,-1.9454430112074403,0.10794473229706399,BULLISH_WEEKLY_STRUCTURE,0.19409100711667282,0.34505067931852285,0.42053051541945374
2012-12-12,16:00:00,0.9285,0.9293,0.9242,0.9251,10930,2012-12-10/2012-12-16,0.9382,0.9239,12.500000000000199,-1.3962907695587294,0.12988418660027912,BULLISH_WEEKLY_STRUCTURE,0.12971570641011554,0.12971570641011554,-0.09728677980758965
2012-12-13,12:00:00,0.9259,0.9275,0.9241,0.9249,7594,2012-12-10/2012-12-16,0.9382,0.9239,19.01408450704251,-1.417608185887868,0.10823682216690128,BULLISH_WEEKLY_STRUCTURE,-0.07568385771435115,-0.11893177640827125,-0.11893177640827125
2012-12-13,16:00:00,0.925,0.9253,0.9224,0.9242,8225,2012-12-10/2012-12-16,0.9382,0.9239,15.277777777777658,-1.4922191430398648,0.032471046650066775,BULLISH_WEEKLY_STRUCTURE,-0.08656135035706805,-0.14066219433022809,-0.8006924908028644
2012-12-13,20:00:00,0.9243,0.9246,0.9232,0.9234,4062,2012-12-10/2012-12-16,0.9382,0.9239,16.176470588235205,-1.577488808356431,-0.05411841108345665,BULLISH_WEEKLY_STRUCTURE,0.04331817197313796,0.02165908598656898,-0.5523066926575692
